Light, Melt, Flame, Short, Burn
Shell, Crack, Fry, Yolk, Breakfast
Money, Flip, Heads, Tails, Metal
Music, Keys, Instrument, Play, Black
Old, Grow, Numbers, Time, Birthday
Sound, Repeat, Voice, Canyon, Noise
Walk, Leave, Path, Shoes, Track
Air, Life, Inhale, Exhale, Hold
Burn, Heat, Flame, Oxygen, Water
Sun, Dark, Shape, Move, Follow
Letter, Alphabet, Rare, Middle, Time
Yard, Boundary, Surround, Gate, Stay
Money, Institution, Loans, Cash, Building
Climb, Steps, Floor, Up, Down
Hair, Teeth, Brush, Head, Untangle
